,track_id,track_name,artist_name,release_date,danceability,energy,valence,tempo,duration_ms
46,3cs0oVj7ff9T6c8D1YeXPb,Kiss This,The Struts,2016-03-04,0.429,0.964,0.815,186.076,177840
47,5jhfa76FhqtD3Boij6MAKS,Love You Madly,Cake,2001-07-23,0.752,0.809,0.658,106.999,237827
48,5aOHCMuTJgjoTbVhEoytTX,Someday We'll Know,New Radicals,1998-01-01,0.648,0.668,0.412,109.447,219133
49,26ZTwQyRVbec9wQ0OaihjE,Always Alright,Alabama Shakes,2013-12-16,0.693,0.62,0.571,106.346,249170
50,7bIQeY33PkduZRmR3h9BIY,Lola - Remastered,The Kinks,1970-11-27,0.468,0.839,0.935,151.842,242027
51,6MOtjGcj62i72t3K7rMVoO,Guitar Man,Bread,1973-06-01,0.553,0.506,0.51,143.278,226213
52,4AjKVyNUMdUveKK5OH1OJD,How Long,Ace,1974-01-01,0.717,0.406,0.703,123.213,204227
53,1ixphys4A3NEXp6MDScfih,Be the One,Dua Lipa,2015-10-30,0.661,0.651,0.368,87.46,202915
54,7hDc8b7IXETo14hHIHdnhd,Passionfruit,Drake,2017-03-18,0.809,0.463,0.364,111.98,298941
55,17ZnveSDBpG9QtL7zLJNPy,Only For You,Heartless Bastards,2012-02-14,0.677,0.649,0.787,82.016,308067
56,5NelxeQ8Yd4ytdhdGog8c5,(You) Got What I Need,Freddie Scott,1998-02-17,0.408,0.518,0.805,186.947,179333
57,6tXnRSvuNgOq4QcxpIN54r,Weather With You,Crowded House,1991-01-01,0.643,0.614,0.891,93.981,224467
58,5vDX38WbPNbgSELSzrYQgT,Whole Wide World,Wreckless Eric,2001,0.747,0.5,0.833,114.212,179400
59,6V50MyHPGhEmwYu0Wdyf0t,The Way It Is,Bruce Hornsby,1986-06-02,0.582,0.689,0.531,111.166,297853
60,6uKFaRWAVcix2AK8lJbSPk,Midnight Sun,Isaac Delusion,2013-10-14,0.887,0.654,0.695,119.991,239213
61,73fmLB2FHjg6BGWna9qpA0,Innocent Man,Rag'n'Bone Man,2017-02-10,0.611,0.663,0.72,87.929,186653
62,6y2Kaz9QI01XBKJ8mTb7Pf,Skin,Rag'n'Bone Man,2017-02-10,0.565,0.745,0.352,170.654,239627
63,58zsLZPvfflaiIbNWoA22O,Human,Rag'n'Bone Man,2017-02-10,0.602,0.707,0.554,75.09,200187
64,6PVWnWMpCwFnj73zu3NdlH,The Great Defector,Bell X1,2009-03-02,0.632,0.911,0.721,135.114,280400
65,4SeSBHW3My7RdB4UW0h1m9,"Girl, I Wanna Lay You Down",ALO,2005-01-01,0.815,0.412,0.669,87.983,218973
66,4sIC8rHh2UIV6lmDJZRBZY,Every Minute,JJ Grey & Mofro,2015-02-20,0.663,0.433,0.814,107.415,281173
67,0mbS3VwRbO6HVBMPXnzOGA,To Love Somebody,Bee Gees,1967-07-14,0.423,0.384,0.521,90.43,182000
68,0y1QJc3SJVPKJ1OvFmFqe6,Way Down We Go,KALEO,2016-06-10,0.489,0.505,0.337,163.255,213707
69,4izg6Hydc6XGErWW6nbdsV,Whatever It Takes,Imagine Dragons,2017-05-09,0.673,0.671,0.523,134.942,201601
70,3N02rdKYcUq6nabDpCRv7v,Heavy/Like a Witch,All Them Witches,2012-12-07,0.323,0.903,0.255,152.827,347875
71,2b5OTshtoFvtctAsKJOwyw,Yellow - Torch Songs,Mallory Knox,2017-05-12,0.393,0.612,0.225,175.073,267000
72,7JhTr0G0gr3ESY3B9uqPi4,Dig Down,Muse,2017-05-18,0.325,0.418,0.197,190.738,228141
73,5tBnCBnTlDQQRdlqHe9qXq,Lucky Man,The Verve,1997-09-29,0.393,0.605,0.208,75.97,293493
74,2xZPpUIcajScKX99PH0fD9,Iko Iko,The Dixie Cups,1964,0.918,0.489,0.962,100.406,122344
75,3KdnFMla7csAZSppKkNzZ7,Diner,Martin Sexton,1996,0.837,0.418,0.929,127.536,185667
76,1GqAnfNhm0sCGvgo447IiC,It's Not Unusual,Tom Jones,1987-01-01,0.496,0.596,0.905,92.733,125533
77,3lghqWELEWj9yEPvme7c4W,Fairground,Simply Red,1995,0.718,0.731,0.619,122.839,333333
78,6IBpFG2LU2udYofIuROp3w,Lost In The Light,Bahamas,2012-01-01,0.597,0.267,0.246,75.535,236720
79,0Mr6X2X4lHCAA9iuzmh7Iu,Caught Me Thinkin,Bahamas,2012-01-01,0.767,0.718,0.897,118.429,180200
80,0wFz9zaIGWpkKtk5F6ig1v,All In One Night,Stereophonics,2017-07-27,0.569,0.668,0.714,83.015,317187
81,14BZoLRySrW0xV3DzQ6dy7,Gap - Demo,The Kooks,2017-04-07,0.461,0.692,0.628,142.629,228800
82,6NIADdxd9jK0UV2SJQb43z,Can We Hang On ? - Los Feliz Blvd,Cold War Kids,2017-07-28,0.548,0.414,0.445,74.189,229720
83,4xMI699qAs7ZlT1uhddcS5,My Mind Is For Sale,Jack Johnson,2017-07-14,0.816,0.667,0.766,97.92,239867
84,1hMFIOaHdvpWK7XI80Wx4d,Tennessee Whiskey,Chris Stapleton,2015-05-04,0.387,0.375,0.503,50.454,293293
85,6S23ygpYi9D4znP5UJvUjB,Last Story,James Vincent McMorrow,2016-09-02,0.752,0.361,0.35,141.905,287213
86,4LQtQV5HHTdVBCBJYaEuUr,Beggin' - 2007 Remaster,Frankie Valli & The Four Seasons,2007-06-04,0.534,0.5,0.447,128.909,168707
87,51e862j4kozAvx5VU9eIIJ,Viva la Mamma! - Version 2,Edoardo Bennato,1996,0.69,0.904,0.579,168.319,206000
88,2Bb8ImyGuIFmxjJSjWtfWe,Beggarman,Smoove & Turrell,2009-04-20,0.762,0.825,0.589,119.993,264533
89,2f5m5MB4H5wRS5iu7oee1Q,Right Me Up,Chadwick Stokes,2006-02-07,0.55,0.542,0.641,173.896,253040
90,3OeUlriM0EZHdWleJtjoVr,Got My Mind Set On You - 2004 Mix,George Harrison,1987-11-02,0.767,0.854,0.963,149.206,234653
91,7rZT0kvjcKN9AZx2IcjHgv,Castles Made Of Sand,Chaka Khan,2007,0.546,0.641,0.374,170.056,240213
92,29OrKlVi8EM1u8VDIlF4qO,Place Your Hands,Reef,2003-01-19,0.506,0.983,0.551,109.226,217413
93,3idthQ24V2aPRcthv7Aq5o,Sit Down,James,1990,0.561,0.706,0.569,126.077,244867
94,62GYoGszQfROZswLee6W3O,Give Me the Night,George Benson,1981,0.85,0.466,0.86,109.936,222627
95,0U0Kt5LLKxg2Pv2xxjxfg0,Who I Am (feat. LunchMoney Lewis),Maroon 5,2017-11-03,0.819,0.676,0.668,125.063,183427
96,3mDb74AlIH6vtsGQrfE2th,Denim Jacket,Maroon 5,2017-11-03,0.775,0.612,0.308,118.024,232551
97,3PQkxFd0gMAKmwt1ZRIbKk,Get Out Of Your Own Way,U2,2017-11-01,0.564,0.766,0.423,130.019,238293
98,5JZdu2fK7qvJgg0DfVmJe5,All In One Night,Stereophonics,2017-10-27,0.569,0.668,0.714,83.015,317187
99,7wGoVu4Dady5GV0Sv4UIsx,rockstar,Post Malone,2017-09-15,0.577,0.522,0.119,159.772,218320
100,3B54sVLJ402zGa6Xm4YGNe,Unforgettable,French Montana,2017-07-14,0.726,0.769,0.733,97.985,233902
