,boringness
260.0,431
250.0,410
230.0,409
240.0,397
210.0,357
220.0,351
270.0,327
200.0,289
280.0,272
190.0,231
180.0,168
290.0,156
170.0,147
160.0,102
300.0,87
150.0,77
310.0,59
140.0,56
320.0,34
130.0,33
120.0,25
330.0,14
110.0,13
100.0,4
340.0,4
90.0,2
50.0,1
