,Unnamed: 0,rank,artist,country
26,26,27,Foo Fighters,Netherlands
27,27,28,Bob Dylan,Netherlands
28,28,29,Drake,Netherlands
29,29,30,Dire Straits,Netherlands
30,30,31,Justin Bieber,Netherlands
31,31,32,Gorillaz,Netherlands
32,32,33,Marvin Gaye,Netherlands
33,33,34,Imagine Dragons,Netherlands
34,34,35,Elvis Presley,Netherlands
35,35,36,The Cure,Netherlands
36,36,37,Tame Impala,Netherlands
37,37,38,Kygo,Netherlands
38,38,39,Maroon 5,Netherlands
39,39,40,De Jeugd van Tegenwoordig,Netherlands
40,40,41,Mumford & Sons,Netherlands
41,41,42,David Guetta,Netherlands
42,42,43,R.E.M.,Netherlands
43,43,44,Justin Timberlake,Netherlands
44,44,45,Ariana Grande,Netherlands
45,45,46,Elton John,Netherlands
46,46,47,Avicii,Netherlands
47,47,48,Led Zeppelin,Netherlands
48,48,49,The Beach Boys,Netherlands
49,49,50,Kings of Leon,Netherlands
0,0,1,Radiohead,Spain
1,1,2,David Bowie,Spain
2,2,3,Kanye West,Spain
3,3,4,Coldplay,Spain
4,4,5,Tame Impala,Spain
5,5,6,Daft Punk,Spain
6,6,7,Queen,Spain
7,7,8,The Beatles,Spain
8,8,9,Drake,Spain
9,9,10,The Weeknd,Spain
10,10,11,Kendrick Lamar,Spain
11,11,12,Sia,Spain
12,12,13,Fleetwood Mac,Spain
13,13,14,Flume,Spain
14,14,15,Red Hot Chili Peppers,Spain
15,15,16,Calvin Harris,Spain
16,16,17,Michael Jackson,Spain
17,17,18,Lana Del Rey,Spain
18,18,19,Gorillaz,Spain
19,19,20,The Killers,Spain
20,20,21,Nirvana,Spain
21,21,22,Rihanna,Spain
22,22,23,The Cure,Spain
23,23,24,The Rolling Stones,Spain
24,24,25,Lorde,Spain
25,25,26,The Smashing Pumpkins,Spain
26,26,27,Florence + the Machine,Spain
27,27,28,Major Lazer,Spain
28,28,29,Bon Iver,Spain
29,29,30,The xx,Spain
30,30,31,Ed Sheeran,Spain
31,31,32,Disclosure,Spain
32,32,33,Foo Fighters,Spain
33,33,34,Beck,Spain
34,34,35,Arctic Monkeys,Spain
35,35,36,Eminem,Spain
36,36,37,Adele,Spain
37,37,38,Elton John,Spain
38,38,39,OutKast,Spain
39,39,40,Childish Gambino,Spain
40,40,41,Beyoncé,Spain
41,41,42,Pink Floyd,Spain
42,42,43,Arcade Fire,Spain
43,43,44,blink-182,Spain
44,44,45,Led Zeppelin,Spain
45,45,46,Mark Ronson,Spain
46,46,47,alt-J,Spain
47,47,48,MGMT,Spain
48,48,49,Justin Bieber,Spain
49,49,50,Ariana Grande,Spain
0,0,1,Coldplay,Switzerland
1,1,2,Queen,Switzerland
2,2,3,David Bowie,Switzerland
3,3,4,The Beatles,Switzerland
4,4,5,Radiohead,Switzerland
5,5,6,Ed Sheeran,Switzerland
6,6,7,Adele,Switzerland
7,7,8,The Rolling Stones,Switzerland
8,8,9,Red Hot Chili Peppers,Switzerland
9,9,10,Pink Floyd,Switzerland
10,10,11,Michael Jackson,Switzerland
11,11,12,Sia,Switzerland
12,12,13,Muse,Switzerland
13,13,14,Bob Dylan,Switzerland
14,14,15,Daft Punk,Switzerland
15,15,16,U2,Switzerland
16,16,17,Nirvana,Switzerland
17,17,18,Imagine Dragons,Switzerland
18,18,19,Calvin Harris,Switzerland
19,19,20,Lana Del Rey,Switzerland
20,20,21,Rihanna,Switzerland
21,21,22,Stevie Wonder,Switzerland
22,22,23,Johnny Cash,Switzerland
23,23,24,Bon Iver,Switzerland
24,24,25,The xx,Switzerland
25,25,26,The Weeknd,Switzerland
26,26,27,Florence + the Machine,Switzerland
27,27,28,Mumford & Sons,Switzerland
28,28,29,Major Lazer,Switzerland
29,29,30,Marvin Gaye,Switzerland
30,30,31,Led Zeppelin,Switzerland
31,31,32,Eminem,Switzerland
32,32,33,Elvis Presley,Switzerland
33,33,34,Elton John,Switzerland
34,34,35,Bruce Springsteen,Switzerland
35,35,36,Drake,Switzerland
36,36,37,Kygo,Switzerland
37,37,38,Fleetwood Mac,Switzerland
38,38,39,Moby,Switzerland
39,39,40,Hozier,Switzerland
40,40,41,Avicii,Switzerland
41,41,42,Depeche Mode,Switzerland
