,Unnamed: 0_x,rank,artist_name,country,Unnamed: 0_y,genre,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,boringness
24,0,1,Lana Del Rey,Jordan,15686,Dance,Pretty When You Cry,6PnluwP0fjGnpIBsqTdUTq,60,0.399,0.509,234147,0.547,0.0,0.215,-6.547999999999999,0.0417,109.436,0.197,208.48800000000003
25,0,1,Lana Del Rey,Jordan,15740,Dance,God Bless America - And All The Beautiful Women In It,7nns9KjsadA1Cx7as2eGNG,60,0.411,0.374,276437,0.6970000000000001,0.211,0.122,-6.544,0.0637,87.96,0.244,188.516
26,0,1,Lana Del Rey,Jordan,15782,Dance,When The World Was At War We Kept Dancing,0dssTLrqY79Klk6jx2RXCj,61,0.097,0.616,275617,0.605,0.00812,0.165,-7.234,0.0343,116.031,0.185,230.897
27,0,1,Lana Del Rey,Jordan,15807,Dance,Carmen,2wiXEarKt55K8aW8elRqDW,54,0.098,0.524,248720,0.4270000000000001,0.000273,0.129,-9.57,0.0297,100.024,0.0379,185.554
28,0,1,Lana Del Rey,Jordan,15831,Dance,Black Beauty,63hHlajVLQnlFMAqSyePxO,59,0.27,0.32,314533,0.529,0.0136,0.0942,-7.595,0.0436,119.898,0.103,197.203
29,0,1,Lana Del Rey,Jordan,15916,Dance,Cola,6LrNqp69g8ngQ0Oem7DGWK,53,0.0699,0.298,260894,0.6679999999999999,2.44e-05,0.59,-5.5360000000000005,0.0478,110.063,0.121,201.127
30,0,1,Lana Del Rey,Jordan,15931,Dance,Without You,7cpHPzPgqKor6gv6nTkJ4R,54,0.636,0.586,229294,0.593,0.000131,0.115,-8.394,0.0329,111.942,0.6679999999999999,221.44799999999998
31,0,1,Lana Del Rey,Jordan,15952,Dance,This Is What Makes Us Girls,6QOU3FhUkPeA2RtaXcvgi7,53,0.0904,0.534,238427,0.8420000000000001,0.0388,0.203,-7.0310000000000015,0.0925,138.004,0.441,268.573
32,0,1,Lana Del Rey,Jordan,15997,Dance,Fucked My Way Up To The Top,70Laus6ozJIHDpfTtUSmAZ,59,0.601,0.52,212227,0.69,0.201,0.13699999999999998,-5.919,0.0554,129.839,0.182,244.92
33,0,1,Lana Del Rey,Jordan,16091,Dance,American,7wfCiX59FY09gsKKFhYfxp,53,0.535,0.397,248907,0.585,0.000438,0.0976,-6.518,0.0359,143.983,0.18,235.665
34,0,1,Lana Del Rey,Jordan,16207,Dance,Million Dollar Man,4lXHVnmDO5u62tGJIpTafd,52,0.484,0.382,231574,0.589,0.0,0.131,-5.9910000000000005,0.0359,65.627,0.511,156.736
35,0,1,Lana Del Rey,Jordan,16230,Dance,The Blackest Day,45pI8224KKX9Gx5fiyvEAh,58,0.363,0.445,365760,0.522,0.000487,0.0797,-8.007,0.0331,107.752,0.162,196.445
36,0,1,Lana Del Rey,Jordan,16248,Dance,Lolita,696cNqpF2NwRLzC7KqCurz,53,0.0744,0.493,220040,0.946,4.89e-05,0.35100000000000003,-4.3039999999999985,0.124,135.955,0.134,275.551
37,0,1,Lana Del Rey,Jordan,16396,Dance,Cruel World,6ayKgleoMF26lvU1Z7wVm7,58,0.274,0.33,399084,0.507,4.65e-06,0.122,-6.3679999999999986,0.0339,122.164,0.177,199.49599999999998
38,0,1,Lana Del Rey,Jordan,16438,Dance,Lust for Life (with The Weeknd),5hzey1kBGjy3B8tDGcyRTY,55,0.564,0.503,264011,0.675,0.00213,0.358,-8.613,0.0583,99.915,0.28600000000000003,209.10200000000003
39,0,1,Lana Del Rey,Jordan,17643,Dance,Guns And Roses,0vfPEfQk0ZCHExTZ007Ryr,54,0.3,0.5329999999999999,270640,0.6659999999999999,0.008620000000000001,0.115,-8.957,0.0448,108.928,0.343,219.871
40,0,1,Lana Del Rey,Jordan,18706,Dance,Blue Jeans - RAC Mix,7JVNRVPeXFAOdMrxOHNjVv,49,0.421,0.687,218213,0.8290000000000001,0.00394,0.0982,-3.821,0.0623,117.975,0.433,265.754
41,0,1,Lana Del Rey,Jordan,19668,Dance,Young And Beautiful [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix Radio Edit,4aBDS6611oBs5LBiVMuQmh,47,0.0433,0.5539999999999999,227115,0.875,0.00109,0.39,-4.573,0.0512,126.007,0.399,264.334
42,0,1,Lana Del Rey,Jordan,20992,Dance,Lust For Life - BloodPop® Remix,0TUHBulhcckjtljAxJrRNg,49,0.00902,0.635,202891,0.76,2.33e-06,0.131,-3.831,0.0319,99.991,0.498,235.66
43,0,1,Lana Del Rey,Jordan,21083,Dance,Summer Bummer - Snakehips Remix,3zUhzxygBLNN1HZQhkDqRT,45,0.474,0.648,248907,0.578,8.58e-05,0.645,-7.686,0.232,135.001,0.31,249.915
44,0,1,Lana Del Rey,Jordan,109182,Pop,Love,2Kerz9H9IejzeIpjhDJoYG,74,0.487,0.527,272743,0.366,0.0023,0.11,-10.943,0.0277,98.994,0.234,177.351
45,0,1,Lana Del Rey,Jordan,109386,Pop,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix / Radio Edit,6PUIzlqotEmPuBfjbwYWOB,74,0.0153,0.564,214912,0.8109999999999999,8.72e-06,0.125,-5.734,0.0513,126.007,0.114,257.773
46,0,1,Lana Del Rey,Jordan,110119,Pop,Mariners Apartment Complex,4UAW2gObi5o6sJla0qZpPn,72,0.795,0.528,246421,0.284,0.000303,0.109,-11.487,0.0287,76.012,0.172,145.72500000000005
47,0,1,Lana Del Rey,Jordan,110274,Pop,Lust For Life (with The Weeknd),0mt02gJ425Xjm7c3jYkOBn,71,0.604,0.504,264066,0.655,0.00193,0.364,-8.644,0.0542,99.982,0.262,207.23800000000003
48,0,1,Lana Del Rey,Jordan,110487,Pop,Born To Die,487OPlneJNni3NWC8SYqhW,64,0.222,0.428,285400,0.626,8.22e-05,0.277,-6.6389999999999985,0.0339,86.02,0.379,184.78099999999998
49,0,1,Lana Del Rey,Jordan,110712,Pop,Summertime Sadness,2dBwB667LHQkLhdYlwLUZK,63,0.0542,0.565,265427,0.654,1.8e-06,0.122,-6.8260000000000005,0.0335,111.968,0.235,227.042
50,0,1,Lana Del Rey,Jordan,110727,Pop,Summer Bummer (feat. A$AP Rocky & Playboi Carti),5QqyRUZeBE04yJxsD1OC0I,67,0.0155,0.76,260672,0.574,2.02e-05,0.199,-8.57,0.126,134.981,0.13699999999999998,259.81100000000004
