,0
Unnamed: 0_x,-0.012121424666467817
rank,-0.012121424666467817
Unnamed: 0_y,3594.943021835963
popularity,0.6847160351566686
acousticness,0.012566342979894729
danceability,0.005413408282572307
duration_ms,-1481.4398443595855
energy,-0.011849164556299252
instrumentalness,-0.019374429394515287
liveness,-0.0013177295474356143
loudness,-0.00848112724414296
speechiness,-0.0020209817507187144
tempo,-0.45219252641066987
valence,0.004093900909140247
boringness,-1.1042492810275064
