,boringness
260.0,495
250.0,484
240.0,474
230.0,448
220.0,414
270.0,388
210.0,380
280.0,325
200.0,301
190.0,250
290.0,211
180.0,161
300.0,149
170.0,125
160.0,99
310.0,87
150.0,57
320.0,42
140.0,39
130.0,25
330.0,16
120.0,12
340.0,8
110.0,7
50.0,1
90.0,1
