,boringness
260.0,545
240.0,524
250.0,522
230.0,452
220.0,398
210.0,396
270.0,389
280.0,353
200.0,303
190.0,257
290.0,234
300.0,160
180.0,156
170.0,135
310.0,95
160.0,83
150.0,57
320.0,55
140.0,40
130.0,25
120.0,21
330.0,19
110.0,10
340.0,9
100.0,2
50.0,1
90.0,1
