;genre_name;number_tracks;percentage
0;Alternative;1467;0.11216453857328541
1;Children's Music;1280;0.09786680938909703
2;Dance;1483;0.11338787369064914
3;Electronic;133;0.010168973163085862
4;Folk;542;0.041440477100695775
5;Hip-Hop;1324;0.10123098096184724
6;Indie;910;0.06957718480006117
7;Pop;2021;0.15452251701200398
8;R&B;600;0.04587506690113923
9;Rap;1465;0.11201162168361496
10;Rock;1793;0.13708999158957108
11;Soul;61;0.004663965134949155
