;genre_name;number_tracks;percentage
0;Alternative;1178;0.10124623979372582
1;Children's Music;972;0.08354103996562097
2;Country;109;0.009368285345938978
3;Dance;1376;0.11826385904598195
4;Electronic;133;0.011431027073485174
5;Folk;390;0.0335195530726257
6;Hip-Hop;1163;0.09995702621400945
7;Indie;333;0.02862054146970348
8;Pop;2162;0.1858186506231199
9;R&B;600;0.05156854318865492
10;Rap;1420;0.12204555221314999
11;Rock;1738;0.1493768801031371
12;Soul;61;0.005242801890846583
